URL,Page Type,Primary Intent,Primary Topic,Secondary Questions,Parent Hub,Related Pages,Existing or New,Cannibalization Risk,Status
/,Home,Commercial overview,Custom patches for brands teams and merchandise,"MOQ; proof approval; shipping; quote process",Home,"/patch-types; /samples-and-moq; /get-a-quote",Existing,Low,Updated
/about,Company,Trust and identity,Custom patch order support from China,"Who is HeyPalPatch; what information is public; how orders are coordinated",Home,"/custom-patch-order-process; /contact; /patch-types",New,Low,Added
/patch-types,Hub,Compare options,Custom patch types,"Which material fits my artwork; what backing should I choose",Home,"/custom-embroidered-patches; /custom-pvc-patches; /custom-woven-patches",New,Low,Added
/custom-embroidered-patches,Product,Order embroidered patches,Custom embroidered patches,"MOQ; proof timing; backing options; small text limits",Patch Types,"/custom-woven-patches; /pvc-vs-embroidered-patches; /get-a-quote",Existing,Low,Updated
/custom-woven-patches,Product,Order woven patches,Custom woven patches,"Small text; detail; woven vs embroidered",Patch Types,"/custom-embroidered-patches; /embroidered-vs-woven-patches; /get-a-quote",Existing,Low,Updated
/custom-pvc-patches,Product,Order PVC patches,Custom PVC patches,"PVC vs embroidered; hook-and-loop; outdoor use",Patch Types,"/pvc-vs-embroidered-patches; /custom-velcro-patches; /get-a-quote",Existing,Low,Updated
/custom-chenille-patches,Product,Order chenille patches,Custom chenille patches,"Varsity style; jackets; detail limits",Patch Types,"/custom-patches-for-jackets; /how-to-design-a-custom-patch; /get-a-quote",Existing,Low,Updated
/custom-leather-patches,Product,Order leather patches,Custom leather patches,"Hats; denim; care; sew-on",Patch Types,"/custom-patches-for-hats; /patch-care-guide; /get-a-quote",Existing,Low,Updated
/custom-printed-patches,Product,Order printed patches,Custom printed patches,"Gradients; file formats; detailed artwork",Patch Types,"/custom-patch-file-formats; /custom-woven-patches; /get-a-quote",Existing,Low,Updated
/samples-and-moq,Buyer Info,MOQ and samples,Custom patch MOQ and paid samples,"Sample fee; proof timing; final MOQ factors",Home,"/how-much-do-custom-patches-cost; /get-a-quote; /faq",New,Low,Added
/shipping-and-payment,Buyer Info,Shipping and payment,Custom patch shipping and PayPal,"4PX; DHL; FedEx; UPS; PayPal",Home,"/custom-patch-order-process; /contact; /faq",New,Low,Added
/custom-patch-order-process,Buyer Info,Process explanation,Custom patch order process,"When production starts; proof approval; tracking",Home,"/samples-and-moq; /shipping-and-payment; /get-a-quote",New,Low,Added
/custom-iron-on-patches,Product Intent,Backing intent,Custom iron-on patches,"Suitable fabrics; sew-on comparison; heat backing",Patch Types,"/iron-on-vs-sew-on-patches; /patch-backing-options; /get-a-quote",New,Low,Added
/custom-velcro-patches,Product Intent,Backing intent,Custom hook-and-loop patches,"Removable patches; uniforms; bags",Patch Types,"/custom-pvc-patches; /patch-backing-options; /get-a-quote",New,Low,Added
/custom-sew-on-patches,Product Intent,Backing intent,Custom sew-on patches,"Durability; jackets; iron-on comparison",Patch Types,"/iron-on-vs-sew-on-patches; /custom-patches-for-jackets; /get-a-quote",New,Low,Added
/custom-logo-patches,Product Intent,Brand intent,Custom logo patches,"Best material; artwork files; quote information",Patch Types,"/how-to-design-a-custom-patch; /custom-patch-file-formats; /get-a-quote",New,Low,Added
/custom-name-patches,Product Intent,Name patch intent,Custom name patches,"Readable text; uniforms; woven or embroidered",Patch Types,"/custom-woven-patches; /custom-embroidered-patches; /get-a-quote",New,Low,Added
/custom-patches-for-jackets,Application,Application intent,Jacket patches,"Size; backing; chenille; sew-on",Patch Types,"/custom-chenille-patches; /custom-sew-on-patches; /patch-care-guide",New,Low,Added
/custom-patches-for-hats,Application,Application intent,Hat patches,"Size; leather; embroidered; backing",Patch Types,"/custom-leather-patches; /custom-embroidered-patches; /custom-patch-size-guide",New,Low,Added
/custom-patches-for-uniforms,Application,Application intent,Uniform patches,"Durability; consistency; removable backing",Patch Types,"/custom-embroidered-patches; /custom-velcro-patches; /get-a-quote",New,Low,Added
/custom-patches-for-backpacks,Application,Application intent,Backpack patches,"PVC; hook-and-loop; sew-on; shipping",Patch Types,"/custom-pvc-patches; /custom-velcro-patches; /shipping-and-payment",New,Low,Added
/embroidered-vs-woven-patches,Comparison,Compare materials,Embroidered vs woven patches,"Small text; texture; detail; MOQ",Patch Types,"/custom-embroidered-patches; /custom-woven-patches; /get-a-quote",New,Low,Added
/pvc-vs-embroidered-patches,Comparison,Compare materials,PVC vs embroidered patches,"Outdoor use; texture; detail; backing",Patch Types,"/custom-pvc-patches; /custom-embroidered-patches; /get-a-quote",New,Low,Added
/iron-on-vs-sew-on-patches,Comparison,Compare backings,Iron-on vs sew-on patches,"Durability; fabric; washing; application",Patch Types,"/custom-iron-on-patches; /custom-sew-on-patches; /patch-backing-options",New,Low,Added
/merrowed-border-vs-heat-cut-border,Comparison,Compare borders,Merrowed vs heat-cut border,"Shape; edge thickness; custom outlines",Patch Types,"/patch-border-options; /custom-embroidered-patches; /get-a-quote",New,Low,Added
/how-much-do-custom-patches-cost,Guide,Cost education,Custom patch cost factors,"What affects price; MOQ; samples; shipping",Home,"/samples-and-moq; /shipping-and-payment; /get-a-quote",New,Low,Added
/how-to-design-a-custom-patch,Guide,Artwork education,How to design a custom patch,"Text size; colors; backing; proof approval",Home,"/custom-patch-file-formats; /patch-types; /get-a-quote",New,Low,Added
